Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,FirstFlrSF,SecondFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ThirdSsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotBathrooms,HouseAge,Remodeled,IsNew,NeighRich,Haspool,Has2ndfloor,Hasgarage,Hasbsmt,Hasfireplace,TotalSqFeet,TotalPorchSF
11,20,RL,70.0,11200,Pave,None,0,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,0,0.0,2,2,CBlock,2,3,1,3,906.0,1,0.0,134.0,1040.0,GasA,20,Y,SBrkr,1040,0,0,1040,1.0,0.0,1,0,3,1,2,5,7,0,0,Detchd,1965.0,1,1.0,384.0,3,3,20,0,0,0,0,0,0,0,None,None,0,2,2008,WD,Normal,129500.0,2.0,43,0,0,1,0,0,1,1,0,2080.0,0
12,60,RL,85.0,11924,Pave,None,1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,2,286.0,4,2,PConc,4,3,1,6,998.0,1,0.0,177.0,1175.0,GasA,60,Y,SBrkr,1182,1142,0,2324,1.0,0.0,3,0,4,1,4,11,7,2,4,BuiltIn,2005.0,3,3.0,736.0,3,3,60,147,21,0,0,0,0,0,None,None,0,7,2006,New,Partial,345000.0,4.0,1,1,0,2,0,1,1,1,1,3499.0,21
13,20,RL,72.0,12968,Pave,None,2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,0,0.0,2,2,CBlock,2,3,1,5,737.0,1,0.0,175.0,912.0,GasA,20,Y,SBrkr,912,0,0,912,1.0,0.0,1,0,2,1,2,4,7,0,0,Detchd,1962.0,1,1.0,352.0,3,3,20,140,0,0,0,176,0,0,None,None,0,9,2008,WD,Normal,144000.0,2.0,46,0,0,1,0,0,1,1,0,1824.0,176
14,20,RL,91.0,10652,Pave,None,1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,2,306.0,3,2,PConc,3,3,3,1,0.0,1,0.0,1494.0,1494.0,GasA,20,Y,SBrkr,1494,0,0,1494,0.0,0.0,2,0,3,1,3,7,7,1,4,Attchd,2006.0,2,3.0,840.0,3,3,20,160,33,0,0,0,0,0,None,None,0,8,2007,New,Partial,279500.0,2.0,1,1,0,1,0,0,1,1,1,2988.0,33
15,20,RL,73.0,10920,Pave,None,1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,1,212.0,2,2,CBlock,2,3,1,4,733.0,1,0.0,520.0,1253.0,GasA,20,Y,SBrkr,1253,0,0,1253,1.0,0.0,1,1,2,1,2,5,7,1,2,Attchd,1960.0,2,1.0,352.0,3,3,20,0,213,176,0,0,0,0,GdWo,None,0,5,2008,WD,Normal,157000.0,2.5,48,0,0,1,0,0,1,1,1,2506.0,389
16,45,RM,51.0,6120,Pave,None,0,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,8,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,0,0.0,2,2,BrkTil,2,3,1,1,0.0,1,0.0,832.0,832.0,GasA,45,Y,FuseA,854,0,0,854,0.0,0.0,1,0,2,1,2,5,7,0,0,Detchd,1991.0,1,2.0,576.0,3,3,45,48,112,0,0,0,0,0,GdPrv,None,0,7,2007,WD,Normal,132000.0,1.0,78,1,0,1,0,0,1,1,0,1686.0,112
17,20,RL,73.0,11241,Pave,None,1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,1,180.0,2,2,CBlock,2,3,1,5,578.0,1,0.0,426.0,1004.0,GasA,20,Y,SBrkr,1004,0,0,1004,1.0,0.0,1,0,2,1,2,5,7,1,3,Attchd,1970.0,3,2.0,480.0,3,3,20,0,0,0,0,0,0,0,None,Shed,700,3,2010,WD,Normal,149000.0,2.0,40,0,0,1,0,0,1,1,1,2008.0,0
18,90,RL,72.0,10791,Pave,None,0,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,0,0.0,2,2,Slab,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,90,Y,SBrkr,1296,0,0,1296,0.0,0.0,2,0,2,2,2,6,7,0,0,CarPort,1967.0,1,2.0,516.0,3,3,90,0,0,0,0,0,0,0,None,Shed,500,10,2006,WD,Normal,90000.0,2.0,39,0,0,1,0,0,1,0,0,1296.0,0
19,20,RL,66.0,13695,Pave,None,0,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,0,0.0,2,2,PConc,2,3,1,6,646.0,1,0.0,468.0,1114.0,GasA,20,Y,SBrkr,1114,0,0,1114,1.0,0.0,1,1,3,1,3,6,7,0,0,Detchd,2004.0,1,2.0,576.0,3,3,20,0,102,0,0,0,0,0,None,None,0,6,2008,WD,Normal,159000.0,2.5,4,0,0,1,0,0,1,1,0,2228.0,102
20,20,RL,70.0,7560,Pave,None,0,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,0,0.0,2,2,CBlock,2,3,1,2,504.0,1,0.0,525.0,1029.0,GasA,20,Y,SBrkr,1339,0,0,1339,0.0,0.0,1,0,3,1,2,6,6,0,0,Attchd,1958.0,1,1.0,294.0,3,3,20,0,0,0,0,0,0,0,MnPrv,None,0,5,2009,COD,Abnorml,139000.0,1.0,51,1,0,1,0,0,1,1,0,2368.0,0
21,60,RL,101.0,14215,Pave,None,1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,1,380.0,3,2,PConc,4,3,3,1,0.0,1,0.0,1158.0,1158.0,GasA,60,Y,SBrkr,1158,1218,0,2376,0.0,0.0,3,1,4,1,3,9,7,1,4,BuiltIn,2005.0,2,3.0,853.0,3,3,60,240,154,0,0,0,0,0,None,None,0,11,2006,New,Partial,325300.0,3.5,1,1,0,2,0,1,1,1,1,3534.0,154
22,45,RM,57.0,7449,Pave,Grvl,0,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,0,0.0,2,2,PConc,2,3,1,1,0.0,1,0.0,637.0,637.0,GasA,45,Y,FuseF,1108,0,0,1108,0.0,0.0,1,0,3,1,3,6,7,1,4,Attchd,1930.0,1,1.0,280.0,3,3,45,0,0,205,0,0,0,0,GdPrv,None,0,6,2007,WD,Normal,139400.0,1.0,77,1,0,0,0,0,1,1,1,1745.0,205
23,20,RL,75.0,9742,Pave,None,0,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,1,281.0,3,2,PConc,3,3,1,1,0.0,1,0.0,1777.0,1777.0,GasA,20,Y,SBrkr,1795,0,0,1795,0.0,0.0,2,0,3,1,3,7,7,1,4,Attchd,2002.0,2,2.0,534.0,3,3,20,171,159,0,0,0,0,0,None,None,0,9,2008,WD,Normal,230000.0,2.0,6,0,0,1,0,0,1,1,1,3572.0,159
24,120,RM,44.0,4224,Pave,None,0,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,0,0.0,2,2,PConc,3,3,1,6,840.0,1,0.0,200.0,1040.0,GasA,120,Y,SBrkr,1060,0,0,1060,1.0,0.0,1,0,3,1,2,6,7,1,3,Attchd,1976.0,1,2.0,572.0,3,3,120,100,110,0,0,0,0,0,None,None,0,6,2007,WD,Normal,129900.0,2.0,31,0,0,0,0,0,1,1,1,2100.0,110
25,20,RL,72.0,8246,Pave,None,1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,0,0.0,2,3,CBlock,2,3,2,3,188.0,5,668.0,204.0,1060.0,GasA,20,Y,SBrkr,1060,0,0,1060,1.0,0.0,1,0,3,1,3,6,7,1,3,Attchd,1968.0,1,1.0,270.0,3,3,20,406,90,0,0,0,0,0,MnPrv,None,0,5,2010,WD,Normal,154000.0,2.0,42,1,0,1,0,0,1,1,1,2120.0,90
26,20,RL,110.0,14230,Pave,None,0,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,2,640.0,3,2,PConc,3,3,1,1,0.0,1,0.0,1566.0,1566.0,GasA,20,Y,SBrkr,1600,0,0,1600,0.0,0.0,2,0,3,1,3,7,7,1,4,Attchd,2007.0,2,3.0,890.0,3,3,20,0,56,0,0,0,0,0,None,None,0,7,2009,WD,Normal,256300.0,2.0,2,0,0,2,0,0,1,1,1,3166.0,56
27,20,RL,60.0,7200,Pave,None,0,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,0,0.0,2,2,CBlock,2,3,2,4,234.0,3,486.0,180.0,900.0,GasA,20,Y,SBrkr,900,0,0,900,0.0,1.0,1,0,3,1,3,5,7,0,0,Detchd,2005.0,1,2.0,576.0,3,3,20,222,32,0,0,0,0,0,None,None,0,5,2010,WD,Normal,134800.0,1.5,59,1,0,1,0,0,1,1,0,1800.0,32
28,20,RL,98.0,11478,Pave,None,0,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,2,200.0,3,2,PConc,4,3,1,6,1218.0,1,0.0,486.0,1704.0,GasA,20,Y,SBrkr,1704,0,0,1704,1.0,0.0,2,0,3,1,3,7,7,1,4,Attchd,2008.0,2,3.0,772.0,3,3,20,0,50,0,0,0,0,0,None,None,0,5,2010,WD,Normal,306000.0,3.0,3,1,0,2,0,0,1,1,1,3408.0,50
29,20,RL,47.0,16321,Pave,None,1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,0,0.0,2,2,CBlock,2,3,4,4,1277.0,1,0.0,207.0,1484.0,GasA,20,Y,SBrkr,1600,0,0,1600,1.0,0.0,1,0,2,1,2,6,7,2,4,Attchd,1957.0,2,1.0,319.0,3,3,20,288,258,0,0,0,0,0,None,None,0,12,2006,WD,Normal,207500.0,2.0,49,1,0,1,0,0,1,1,1,3084.0,258
30,30,RM,60.0,6324,Pave,None,1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,0,0.0,2,2,BrkTil,2,3,1,1,0.0,1,0.0,520.0,520.0,GasA,30,N,SBrkr,520,0,0,520,0.0,0.0,1,0,1,1,1,4,7,0,0,Detchd,1920.0,1,1.0,240.0,2,3,30,49,0,87,0,0,0,0,None,None,0,5,2008,WD,Normal,68500.0,1.0,81,1,0,1,0,0,1,1,0,1040.0,87
31,70,C (all),50.0,8500,Pave,Pave,0,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,0,0.0,2,1,BrkTil,2,3,1,1,0.0,1,0.0,649.0,649.0,GasA,70,N,SBrkr,649,668,0,1317,0.0,0.0,1,0,3,1,2,6,7,0,0,Detchd,1920.0,1,1.0,250.0,3,2,70,0,54,172,0,0,0,0,MnPrv,None,0,7,2008,WD,Normal,40000.0,1.0,88,1,0,0,0,1,1,1,0,1966.0,226
32,20,RL,72.0,8544,Pave,None,1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,0,0.0,2,2,CBlock,2,3,1,1,0.0,1,0.0,1228.0,1228.0,GasA,20,Y,SBrkr,1228,0,0,1228,0.0,0.0,1,1,3,1,3,6,7,0,0,Attchd,1966.0,1,1.0,271.0,3,3,20,0,65,0,0,0,0,0,MnPrv,None,0,6,2008,WD,Normal,149350.0,1.5,42,1,0,1,0,0,1,1,0,2456.0,65
33,20,RL,85.0,11049,Pave,None,0,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,0,0.0,3,2,PConc,4,3,3,1,0.0,1,0.0,1234.0,1234.0,GasA,20,Y,SBrkr,1234,0,0,1234,0.0,0.0,2,0,3,1,3,7,7,0,0,Attchd,2007.0,2,2.0,484.0,3,3,20,0,30,0,0,0,0,0,None,None,0,1,2008,WD,Normal,179900.0,2.0,1,0,0,1,0,0,1,1,0,2468.0,30
34,20,RL,70.0,10552,Pave,None,1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,0,0.0,2,2,CBlock,2,3,1,3,1018.0,1,0.0,380.0,1398.0,GasA,20,Y,SBrkr,1700,0,0,1700,0.0,1.0,1,1,4,1,3,6,7,1,4,Attchd,1959.0,2,2.0,447.0,3,3,20,0,38,0,0,0,0,0,None,None,0,4,2010,WD,Normal,165500.0,2.0,51,0,0,1,0,0,1,1,1,3098.0,38
35,120,RL,60.0,7313,Pave,None,0,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,1,246.0,4,2,PConc,4,3,1,6,1153.0,1,0.0,408.0,1561.0,GasA,120,Y,SBrkr,1561,0,0,1561,1.0,0.0,2,0,2,1,4,6,7,1,4,Attchd,2005.0,3,2.0,556.0,3,3,120,203,47,0,0,0,0,0,None,None,0,8,2007,WD,Normal,277500.0,3.0,2,0,0,2,0,0,1,1,1,3122.0,47
36,60,RL,108.0,13418,Pave,None,0,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,2,132.0,3,2,PConc,4,3,3,1,0.0,1,0.0,1117.0,1117.0,GasA,60,Y,SBrkr,1132,1320,0,2452,0.0,0.0,3,1,4,1,3,9,7,1,4,BuiltIn,2004.0,3,3.0,691.0,3,3,60,113,32,0,0,0,0,0,None,None,0,9,2006,WD,Normal,309000.0,3.5,2,1,0,2,0,1,1,1,1,3569.0,32
37,20,RL,112.0,10859,Pave,None,0,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,0,0.0,2,2,PConc,3,3,1,1,0.0,1,0.0,1097.0,1097.0,GasA,20,Y,SBrkr,1097,0,0,1097,0.0,0.0,1,1,3,1,2,6,7,0,0,Attchd,1995.0,1,2.0,672.0,3,3,20,392,64,0,0,0,0,0,None,None,0,6,2009,WD,Normal,145000.0,1.5,15,1,0,1,0,0,1,1,0,2194.0,64
38,20,RL,74.0,8532,Pave,None,0,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,1,650.0,2,2,CBlock,2,3,1,3,1213.0,1,0.0,84.0,1297.0,GasA,20,Y,SBrkr,1297,0,0,1297,0.0,1.0,1,0,3,1,2,5,7,1,3,Attchd,1954.0,3,2.0,498.0,3,3,20,0,0,0,0,0,0,0,None,None,0,10,2009,WD,Normal,153000.0,1.5,55,1,0,1,0,0,1,1,1,2594.0,0
39,20,RL,68.0,7922,Pave,None,0,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,0,0.0,2,3,CBlock,2,3,1,6,731.0,1,0.0,326.0,1057.0,GasA,20,Y,SBrkr,1057,0,0,1057,1.0,0.0,1,0,3,1,3,5,7,0,0,Detchd,1953.0,1,1.0,246.0,3,3,20,0,52,0,0,0,0,0,None,None,0,1,2010,WD,Abnorml,109000.0,2.0,57,1,0,1,0,0,1,1,0,2114.0,52
40,90,RL,65.0,6040,Pave,None,0,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,0,0.0,2,2,PConc,0,0,0,0,0.0,0,0.0,0.0,0.0,GasA,90,N,FuseP,1152,0,0,1152,0.0,0.0,2,0,2,2,1,6,7,0,0,NoGarage,1955.0,0,0.0,0.0,0,0,90,0,0,0,0,0,0,0,None,None,0,6,2008,WD,AdjLand,82000.0,2.0,53,0,0,1,0,0,0,0,0,1152.0,0
41,20,RL,84.0,8658,Pave,None,0,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,1,101.0,2,2,CBlock,2,3,1,3,643.0,1,0.0,445.0,1088.0,GasA,20,Y,SBrkr,1324,0,0,1324,0.0,0.0,2,0,3,1,2,6,7,1,3,Attchd,1965.0,2,2.0,440.0,3,3,20,0,138,0,0,0,0,0,GdWo,None,0,12,2006,WD,Abnorml,160000.0,2.0,41,0,0,1,0,0,1,1,1,2412.0,138
42,20,RL,115.0,16905,Pave,None,0,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,0,0.0,2,3,CBlock,2,3,4,4,967.0,1,0.0,383.0,1350.0,GasA,20,Y,SBrkr,1328,0,0,1328,0.0,1.0,1,1,2,1,2,5,7,2,4,Attchd,1959.0,2,1.0,308.0,3,3,20,0,104,0,0,0,0,0,None,None,0,7,2007,WD,Normal,170000.0,2.0,48,0,0,1,0,0,1,1,1,2678.0,104
43,85,RL,67.0,9180,Pave,None,1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,0,0.0,2,2,CBlock,3,3,3,5,747.0,2,93.0,0.0,840.0,GasA,85,Y,SBrkr,884,0,0,884,1.0,0.0,1,0,2,1,3,5,7,0,0,Attchd,1983.0,2,2.0,504.0,3,4,85,240,0,0,0,0,0,0,MnPrv,None,0,12,2007,WD,Normal,144000.0,2.0,24,0,0,1,0,0,1,1,0,1724.0,0
44,20,RL,70.0,9200,Pave,None,1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,0,0.0,2,2,CBlock,3,3,3,2,280.0,4,491.0,167.0,938.0,GasA,20,Y,SBrkr,938,0,0,938,1.0,0.0,1,0,3,1,2,5,7,0,0,Detchd,1977.0,1,1.0,308.0,3,3,20,145,0,0,0,0,0,0,MnPrv,None,0,7,2008,WD,Normal,130250.0,2.0,33,1,0,1,0,0,1,1,0,1876.0,0
45,20,RL,70.0,7945,Pave,None,0,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,0,0.0,2,2,CBlock,2,3,1,5,179.0,4,506.0,465.0,1150.0,GasA,20,Y,FuseA,1150,0,0,1150,1.0,0.0,1,0,3,1,2,6,7,0,0,Attchd,1959.0,2,1.0,300.0,3,3,20,0,0,0,0,0,0,0,None,None,0,5,2006,WD,Normal,141000.0,2.0,47,0,0,1,0,0,1,1,0,2300.0,0
